person,hair_length,facial_hair,breast_development,testes,ovaries,oestrogen,testosterone,voice_pitch,body_hair,muscle_mass,fat_distribution,menstruation,category
A,Short,Yes,No,Yes,No,Low,High,Lower,High,High,Abdomen,No,
B,Long,No,Yes,No,Yes,High,Low,Higher,Low,Low,Hips_Thighs,Yes,
C,Long,No,Yes,Yes,No,High,Low,Higher,Low,Low,Hips_Thighs,No,
D,Short,Yes,No,No,Yes,Low,High,Lower,High,High,Abdomen,No,
E,Long,No,Yes,No,Yes,High,Low,Higher,Low,Low,Hips_Thighs,Yes,
F,Short,Yes,No,Yes,No,Low,High,Lower,High,High,Abdomen,No,
G,Short,No,Yes,Yes,No,High,Low,Higher,Low,Low,Hips_Thighs,No,
H,Long,Yes,No,No,Yes,Low,High,Lower,High,High,Abdomen,No,
I,Long,No,Yes,No,Yes,High,Low,Higher,Low,Low,Hips_Thighs,Yes,
J,Short,Yes,No,Yes,No,Low,High,Lower,High,High,Abdomen,No,
K,Long,No,Yes,Yes,No,,Low,Higher,Low,Low,Hips_Thighs,No,
L,Short,No,Yes,No,Yes,High,,Higher,Low,Low,Hips_Thighs,Yes,
M,,Yes,No,Yes,No,Low,High,Lower,High,High,Abdomen,No,
N,Long,Yes,No,No,,Low,High,Lower,High,High,Abdomen,No,
O,Short,No,Yes,Yes,No,High,High,,Medium,High,Mixed,No,
P,Long,No,Yes,No,Yes,High,Low,Higher,Low,Low,Hips_Thighs,Yes,
Q,Short,No,Yes,Yes,No,High,Low,Lower,Medium,Medium,Mixed,No,
R,Long,No,Partial,Yes,No,High,Low,Higher,Low,Low,Hips_Thighs,No,
S,Short,Yes,No,No,Yes,Low,High,Lower,High,High,Abdomen,,
T,Long,No,Yes,No,Yes,High,Low,Higher,,Low,Hips_Thighs,Yes,
U,Short,No,No,Yes,No,Low,High,Higher,Medium,High,Abdomen,No,
V,Long,Yes,Yes,No,Yes,High,High,Lower,High,High,Mixed,No,
W,Short,No,Yes,No,Yes,High,Low,Lower,Low,Low,Hips_Thighs,Yes,
X,Long,Yes,No,Yes,No,Low,High,Higher,High,High,Abdomen,No,
