sample_id,species,treatment,gene_a,gene_b,gene_c,growth_rate,response
S01,E_coli,control,5.1,2,7.2,0.91,sensitive
S02,E_coli,drug,8.2,3.8,6.1,0.42,resistant
S03,E_coli,control,5.5,2.2,7,0.88,sensitive
S04,E_coli,drug,9,4.1,5.8,0.35,resistant
S05,B_subtilis,control,4.8,2.7,8,0.82,sensitive
S06,B_subtilis,drug,7.1,3.5,6.9,0.51,resistant
S07,B_subtilis,control,4.9,2.5,8.1,0.85,sensitive
S08,B_subtilis,drug,7.6,3.9,6.5,0.47,resistant
S09,E_coli,drug,8.5,4,6,0.39,resistant
S10,E_coli,control,5.2,2.1,7.3,0.9,sensitive
S11,B_subtilis,drug,,3.7,6.7,0.49,resistant
S12,B_subtilis,control,4.7,2.6,8.2,0.87,sensitive
